time,seconds_elapsed,yaw,qx,qz,roll,qw,qy,pitch
1662982563644747000,0.8217470703125,0.5347022857418962,-0.054519533546933376,-0.26404930121754855,0.011504638155725036,-0.962740559162471,-0.020887455327659725,0.11626875307952077
1662982563654703000,0.831703125,0.5434819638869223,-0.053728087488664936,-0.2682720358522591,0.011181791838187717,-0.9616196455112798,-0.020764728597956538,0.11472465817990798
1662982563664659000,0.841658935546875,0.5516355082603536,-0.05258120002851583,-0.27220744105913464,0.011429770221535003,-0.9605754300509207,-0.020812082139138356,0.11258451412087808
1662982563674615000,0.851614990234375,0.5587333220073466,-0.0513097376273772,-0.27563434791312097,0.011732348139283203,-0.959666541597127,-0.020812643886684544,0.11017660422466324
1662982563684572000,0.861572021484375,0.5646356072213251,-0.05028714113738594,-0.27846254411767296,0.011213687811609481,-0.9589123413190214,-0.020415976336260928,0.10802204799020189
1662982563694528000,0.871528076171875,0.5694043431631653,-0.04977927020319556,-0.28070541609937477,0.009190724539806787,-0.95830696479956,-0.019349318118237518,0.10647160944698528
1662982563704484000,0.881484130859375,0.5730681071444067,-0.04991158305982384,-0.28237456155496465,0.0055779540315428104,-0.9578430209114676,-0.01760950540942785,0.10575690560682315
1662982563714440200,0.891440185546875,0.5758363190395591,-0.05064866769756872,-0.28358411991335825,0.0010315167458453136,-0.9574828627054411,-0.015536592724101649,0.106000719844831
1662982563724396000,0.90139599609375,0.578030203731782,-0.05181811709952349,-0.28450711397057143,-0.003591532784575966,-0.9571768232035562,-0.013536841244916826,0.10710551772993103
1662982563734353200,0.911353271484375,0.5799683701367429,-0.05322723466234089,-0.2853099694628322,-0.007737105032526409,-0.956882790703204,-0.01185164850837882,0.10884201037100323
1662982563744309000,0.92130908203125,0.5818691827342538,-0.05474356479615173,-0.2861069071122317,-0.011076610205356037,-0.9565736718326413,-0.01061959606671589,0.11103721235117019
